#  log(age)     mini          mact           logl     logt  phase
    6.7000    4.0000000000    4.0000000000    2.4622    4.2350   0.0
    6.7000    4.5000000000    4.5000000000    2.6312    4.2609   0.0
    6.7000    4.9673752785    4.9674000000    2.7704    4.2829   0.0
    6.7000    5.0000000000    5.0000000000    2.7796    4.2843   0.0
    6.7000    5.0101957321    5.0102000000    2.7826    4.2847   0.0
    6.7000    6.0000000000    6.0000000000    3.0453    4.3242   0.0
    6.7000    7.0000000000    7.0000000000    3.2686    4.3572   0.0
    6.7000    8.9908685684    8.9909000000    3.6322    4.4069   0.0
    6.7000   10.0518150330   10.0518000000    3.7910    4.4277   0.0
    6.7000   11.9634742737   11.9635000000    4.0464    4.4618   0.0
    6.7000   14.9452114105   14.9091000000    4.3664    4.5018   0.0
    6.7000   15.4522762299   15.4129000000    4.4117    4.5071   0.0
    6.7000   19.9086856842   19.8328000000    4.7709    4.5423   0.0
    6.7000   20.0062923431   19.9282000000    4.7771    4.5428   0.0
    6.7000   24.3722038269   24.1487000000    5.0318    4.5549   0.0
    6.7000   27.7308235168   27.2875000000    5.2022    4.5534   0.0
    6.7000   30.0000000000   29.3348000000    5.3081    4.5436   0.0
    6.7000   31.7696685791   30.8980000000    5.3736    4.5331   0.0
    6.7000   33.1338653564   32.0695000000    5.4219    4.5219   0.0
    6.7000   34.3451461792   33.0673000000    5.4640    4.5055   0.0
    6.7000   35.3292961121   33.8554000000    5.4969    4.4916   0.0
    6.7000   36.1215896606   34.4755000000    5.5227    4.4801   0.0
    6.7000   36.8180198669   35.0167000000    5.5450    4.4676   0.0
    6.7000   37.4756355286   35.5165000000    5.5660    4.4517   0.0
    6.7000   37.9865570068   35.9055000000    5.5821    4.4388   0.0
    6.7000   38.4569892883   36.2546000000    5.5968    4.4265   0.0
    6.7000   38.8818511963   36.5367000000    5.6106    4.4147   0.0
    6.7000   39.2952575684   36.8071000000    5.6240    4.4029   0.0
    6.7000   39.7046012878   37.0641000000    5.6372    4.3916   0.0
    6.7000   39.7630615234   37.0988000000    5.6391    4.3902   0.0
    6.7000   40.0000000000   37.1894000000    5.6620    4.4162   0.0
    6.7000   40.0624275208   37.1692000000    5.6668    4.4218   0.0
    6.7000   40.0890312195   37.1605000000    5.6785    4.4387   0.0
    6.7000   40.1275711060   37.1478000000    5.6954    4.3711   0.0
    6.7000   40.1440429688   37.1424000000    5.6971    4.3128   0.0
    6.7000   40.1537361145   37.1386000000    5.6994    4.2636   0.0
    6.7000   40.1614837646   37.1350000000    5.7024    4.2169   0.0
    6.7000   40.1680221558   37.1316000000    5.7052    4.1714   0.0
    6.7000   40.1726226807   37.1290000000    5.7072    4.1372   0.0
    6.7000   40.1777114868   37.1046000000    5.7092    4.0965   0.0
    6.7000   40.1830291748   37.0091000000    5.7112    4.0527   0.0
    6.7000   40.1871414185   36.9352000000    5.7123    4.0170   0.0
    6.7000   40.1919822693   36.7189000000    5.7136    3.9714   0.0
    6.7000   40.1958503723   36.5655000000    5.7147    3.9331   0.0
    6.7000   40.2021484375   36.3503000000    5.7166    3.8838   0.0
    6.7000   40.2067451477   36.1927000000    5.7178    3.8566   0.0
    6.7000   40.2096405029   36.0850000000    5.7184    3.8432   0.0
    6.7000   40.2125434875   35.9707000000    5.7190    3.8316   0.0
    6.7000   40.2147254944   35.8849000000    5.7193    3.8246   0.0
    6.7000   40.2173843384   35.7802000000    5.7197    3.8160   0.0
