#  log(age)     mini          mact           logl     logt  phase
    6.7000   38.3914871216   32.9453000000    5.6388    3.9860   0.0
    6.7000   38.3924102783   32.9083000000    5.6386    3.9731   0.0
    6.7000   38.3932418823   32.8750000000    5.6384    3.9614   0.0
    6.7000   38.3941650391   32.8380000000    5.6380    3.9502   0.0
    6.7000   38.3949966431   32.8154000000    5.6375    3.9391   0.0
    6.7000   38.3967475891   32.7678000000    5.6358    3.9214   0.0
    6.7000   38.3994293213   32.6270000000    5.6274    3.9045   0.0
    6.7000   38.4012718201   32.5697000000    5.6204    3.8909   0.0
    6.7000   38.4039459229   32.4866000000    5.6265    3.8786   0.0
    6.7000   38.4082832336   32.3461000000    5.6377    3.8651   0.0
    6.7000   38.4179611206   31.8733000000    5.6546    3.8517   0.0
    6.7000   38.4745864868   29.0992000000    5.6678    3.7929   0.0
    6.7000   38.4915351868   28.2643000000    5.6681    3.7813   0.0
    6.7000   38.4964828491   28.0528000000    5.6663    3.7933   0.0
    6.7000   38.5064582825   27.5588000000    5.6622    3.7947   0.0
    6.7000   38.5082855225   27.4173000000    5.6713    3.8610   0.0
    6.7000   38.5092010498   27.3802000000    5.6684    3.9025   0.0
    6.7000   38.5100250244   27.3468000000    5.6667    3.9207   0.0
    6.7000   38.5117645264   27.2763000000    5.6631    3.9749   0.0
    6.7000   38.5127639771   27.2570000000    5.6623    4.0060   0.0
    6.7000   38.5154190063   27.2056000000    5.6570    4.0143   0.0
    6.7000   38.5355987549   26.9218000000    5.6549    4.0098   0.0
    6.7000   38.6116447449   26.0206000000    5.6643    3.9958   0.0
    6.7000   38.6382751465   25.7648000000    5.6637    3.9990   0.0
    6.7000   38.6933403015   25.2440000000    5.6624    3.9816   0.0
    6.7000   38.7297630310   24.7244000000    5.6603    3.9628   0.0
    6.7000   38.7478866577   24.4295000000    5.6585    3.9516   0.0
    6.7000   38.7659873962   24.0469000000    5.6564    3.9396   0.0
    6.7000   38.8585853577   22.4284000000    5.6485    3.9679   0.0
    6.7000   38.9051628113   22.0666000000    5.6476    3.9976   0.0
    6.7000   38.9567832947   21.7558000000    5.6477    4.0195   0.0
    6.7000   39.0592460632   21.2690000000    5.6467    4.0489   0.0
